"order","usage","simple_name","rdf_name","type","domain","range","split","unique","mandatory","description"
"1","schema","type","rdf:type","URIRef","","","","","yes",""
"2","schema","identifier","","URIRef","","","no","yes","yes",""
"3","schema","name_en","skos:prefLabel@en","Literal","","","no","yes","yes",""
"4","schema","name_de","skos:prefLabel@de","Literal","","","no","yes","yes",""
"5","schema","definition_en","skos:definition@en","Literal","","","no","yes","yes",""
"6","schema","example_en","skos:example@en","Literal","","","yes","no","",""
"7","schema","note_en","skos:note@en","Literal","","","no","yes","",""
"8","schema","synonyms_en","skos:altLabel@en","Literal","","","yes","no","",""
"9","schema","synonyms_de","skos:altLabel@de","Literal","","","yes","no","",""
"10","schema","parents","rdfs:subClassOf","URIRef","","","yes","no","yes",""
"11","schema","is_part_of","cx:isPartOf","URIRef","","","yes","no","",""
"12","schema","relation_from","rdfs:domain","URIRef","","","yes","no","",""
"13","schema","relation_to","rdfs:range","URIRef","","","yes","no","",""
"14","schema","links","rdfs:seeAlso","URIRef","","","yes","no","",""
"","","","","","","","","","",""
"","schema","label_en","rdfs:label@en","Literal","","","no","yes","",""
"","schema","label_de","rdfs:label@de","Literal","","","no","yes","",""
"","schema","is_defined_by","rdfs:isDefinedBy","URIRef","","","","yes","",""
"","","","","","","","","","",""
"","schema","is_disjoint_with","owl:disjointWith","URIRef","C1","C2","yes","no","","these classes do not share any individuals"
"","schema","is_inverse_of","owl:inverseOf","URIRef","P1","P2","yes","no","",""
"","","","","","","","","","",""
"","schema","scope_note","skos:scopeNote","Literal","","","","","",""
"","schema","change_note","skos:changeNote","Literal","","","","","",""
"","schema","editorial_note","skos:editorialNote","Literal","","","","","",""
"","schema","history_note","skos:historyNote","Literal","","","","","",""
"","","","","","","","","","",""
"","schema","relation_parents","rdfs:subObjectPropertyOf","URIRef","","","yes","","",""
"","schema","attribute_parents","rdfs:subPropertyOf","URIRef","","","yes","","",""
"","","","","","","","","","",""
"","type","class","owl:Class","","","","","","","set of individuals"
"","type","relation","owl:ObjectProperty","","","","","","","relationship between two individuals"
"","type","attribute","owl:DatatypeProperty","","","","","","","relationship between individual and datatype"
"","","","","","","","","","",""
"","type","annotation","owl:AnnotationProperty","","","","","","","meta data such as label or comment"
"","","","","","","","","","",""
"","type","same class","owl:equivalentClass	","","C1","C2","","","",""
"","type","different class","owl:disjointWith","","C1","C2","","","",""
"","type","same individual","owl:sameAs","","I1","I2","","","",""
"","type","same as","owl:sameAs","","I1","I2","","","",""
"","type","different individual","owl:differentFrom","","I1","I2","","","",""
"","type","same property","owl:equivalentProperty","","P1","P2","","","",""
"","","","","","","","","","",""
"","type","related concept","skos:related","","C1","C2","","","",""
"","type","related match","skos:relatedMatch","","C1","C2","","","",""
"","type","exact match","skos:exactMatch","","C1","C2","","","",""
"","","","","","","","","","",""
"","type","top attribute","owl:topDataProperty","URIRef","","","yes","","","rdfs:subClassOf owl:topDataProperty"
"","type","top relation","owl:topObjectProperty","URIRef","","","yes","","","rdfs:subClassOf owl:topObjectProperty"
"","","","","","","","","","",""
"","type","transitive relation","owl:TransitiveProperty","","C1","C2","","","","e.g. hasChild, hasParent"
"","type","symmetric relation","owl:SymmetricProperty    ","","C1","C2","","","","relation that that is its own inverse, e.g. hasSibling, hasSpouse"
"","type","asymmetric relation","owl:AsymmetricProperty","","C1","C2","","","","relation that cannot be inverted, e.g. hasMother"
"","type","reflexive relation","owl:ReflexiveProperty","","C1","C2","","","","relation that always relates an individual to itself, e.g. equality"
"","type","irreflexive relation","owl:IrreflexiveProperty","","C1","C2","","","","relation that never relates an individual to itself, e.g. hasMother"
"","type","functional relation","owl:FunctionalProperty","","C1","C2","","","","strict 1:1 relation between two individuals, e.g. hasMother"
"","type","inverse functional relation","owl:InverseFunctionalProperty","","C1","C2","","","","inverse relation is functional"
"","type","unique attribute","owl:FunctionalProperty, owl:DatatypeProperty","","C1","C2","","","","attribute can have only one value, e.g. primary key"
"","","","","","","","","","",""
"","type","exact cardinality","owl:cardinality","","","","","","",""
"","type","min cardinality","owl:minCardinality","","","","","","",""
"","type","max cardinality","owl:maxCardinality","","","","","","",""
"","","","","","","","","","",""
"","relation_to","string","xsd:string","","","","","","",""
"","relation_to","str","xsd:string","","","","","","",""
"","relation_to","integer","xsd:integer","","","","","","",""
"","relation_to","int","xsd:integer","","","","","","",""
"","relation_to","xsd:int","xsd:integer","","","","","","",""
"","relation_to","positive integer","xsd:positiveInteger","","","","","","",""
"","relation_to","float","xsd:float","","","","","","",""
"","relation_to","double","xsd:double","","","","","","",""
"","relation_to","number","xsd:double","","","","","","",""
"","relation_to","numeric","xsd:double","","","","","","",""
"","relation_to","num","xsd:double","","","","","","",""
"","relation_to","decimal","xsd:decimal","","","","","","",""
"","relation_to","boolean","xsd:boolean","","","","","","",""
"","relation_to","date","xsd:date","","","","","","",""
"","relation_to","datetime","xsd:dateTime","","","","","","",""
